-86254.8 -33527.2 -47721.3 -65283.6 -54086.3 -94204.4 -84729 -83181.7 -114916 -96548.8 -129954 -127689 -137331 -158877 -135625 -178452 -178709 -171955 -188908 -171650 -201838 -179348 -171860 -150518 -73278.6 -102088 -104591 -102944 -123388 -91541.3 -107038 -72602.3 -51058.5 -65938.9 -36184.7 -60349.8 -46023.4 -50106.3 -70802 -39428.9 -55922.2 -27825.2 -14309.8 -30069.5 2532.15 -29445.9 -7945.22 -1421.68 -17622.2 -11115 
50342.4 17098.7 25120.2 37615.8 28246.1 55976.6 49344.8 48949.6 71267.1 58577.3 82636.6 80439.7 86949.3 102836 87112.7 117195 117946 116512 131046 119911 142099 125481 116513 97351.6 39276.5 55839.3 56101.9 56089.4 70650 48718.5 60399.8 37037 23534.4 33866.5 12836.7 30373.2 20008.6 22912.8 37597.3 16551.9 30136 11706.7 4540.11 16941.3 -4144.44 18861.9 4242.68 1070.89 13017.4 6645.98 
-9299.66 -4021.84 -6535.13 -7625.77 -9106.85 -11523.6 -11746.6 -11789.7 -13317.2 -12917.4 -13953.4 -14684.7 -15586.4 -16041.8 -15070.8 -16890.4 -16376.9 -13126.7 -10970.5 -8353.65 -7064.45 -5569.33 -6810.76 -8441.17 -8615.34 -12892.9 -14599.6 -14128 -15475 -14644.6 -15257.2 -13911.9 -11920.2 -12431.4 -11366.1 -11879.3 -11899.7 -12290.3 -13480.5 -12040.3 -11484.9 -10116.3 -8091.04 -7663.97 -4676.19 -5006.2 -3666.3 -1942.25 -1807.21 -2745.82 
111372 39216.9 55434.9 83091.1 59399.9 121397 105280 103789 153974 124380 179240 173161 187154 223279 187011 254819 256566 255937 291666 268587 322372 285899 265291 220366 85512.1 120394 119360 119512 151596 100754 126883 73299.5 43769.2 67537.9 19675.5 60135 35826.9 42137.3 74837.7 26732.1 58453.1 16044.8 840.151 29929.8 -16274.2 37227 4456.51 -1022.01 27114.8 11557.6 
45447.7 17501.3 24744.8 34707.9 27365.6 50247.4 44749.8 44200.5 62339.3 51886.1 71562.2 70029.5 75519.4 88030.3 74714.4 98828.6 98630.3 95852.8 106027 95902.1 113281 99636.7 93835.8 80093.8 34436.6 49508.7 50323.3 50043.2 61628.7 43352.1 52475.6 33012 21737.4 30346 13361.1 27891.7 19727.7 22328.2 34354.6 16897 27381.4 11662.3 5040.19 14776 -2898.99 15789.3 3728.84 984.599 10717.6 6027.99 
-77658.3 -29304.4 -43110.7 -59027.2 -50907.7 -86894 -79387.6 -78533.6 -106806 -91359.7 -120633 -119458 -128497 -147324 -127289 -165070 -165026 -157062 -169628 -152488 -176120 -155009 -148228 -130205 -64440.3 -91718.3 -95247.7 -93950 -112663 -85581 -99564.4 -69856 -50415.7 -63308.7 -37354.2 -58259.1 -46352.3 -50357.4 -69129.9 -42041.7 -56108.1 -31954.3 -19495 -32660.6 -2896.65 -29972.7 -10726 -3865.83 -17344.8 -12252.7 
-66988.9 -22190.2 -30781.1 -50798.7 -29924.2 -74750.5 -62529.5 -62461.3 -98917.1 -77179.3 -119016 -113404 -123242 -150357 -123755 -172109 -172525 -176600 -205541 -188837 -229705 -201176 -181011 -142694 -38448.9 -58455.4 -55117.5 -57351.4 -80403.3 -42932.6 -62965.1 -24581.7 -6532.45 -24177.6 10868.3 -20963.4 -2931.87 -8050.51 -32288.9 1493.74 -25253.3 4612.34 11830.7 -12030.8 18236 -22449.9 591.123 1115.17 -21133.9 -6258.19 
21215.7 9278.99 13237.4 16812.8 15516.6 24066.2 22464.3 22231.2 28658 25171.9 31859.2 31916.6 34204 38110.9 33234.4 41491.1 40755 37338.8 38471.9 33367.6 37635.5 32489.6 32046.2 29555.3 16340.8 24085.4 25559.3 25097.7 29295.3 23028.4 26018.5 19093.4 14410.5 17441.5 11691.7 16584.5 14221.6 15368.9 19780.8 13475.4 16142.7 10224.6 6712.99 9313.72 1978.63 7891.67 3360.51 1493.17 4416.36 3709.1 
-33775.8 -12365.2 -16845.4 -24662.9 -17213 -35170.7 -30022.5 -29198 -43847.5 -34801.7 -50861.7 -48878.9 -52893.1 -63594.6 -52783.1 -73000.1 -73926.6 -74319 -85754.7 -80018.9 -97249.8 -87486.5 -82270.2 -69437.3 -29298.8 -39168.3 -38344 -37847.3 -46821.7 -31257.7 -38538.1 -22226.6 -13221 -20294 -6100.48 -17941.8 -10484.6 -12044.9 -21339.2 -6698.12 -15791.8 -2844.87 1849.52 -6849.44 6563.39 -9654.89 -157.318 1269.86 -7285.5 -2923.28 
10319.2 3640.9 5235.35 8037.37 5481.77 11900.9 10341.9 10431.1 15507.6 12582.8 18421.5 17851.4 19399.3 23058.8 19347.5 25973.5 25797.7 25715.8 28966.2 26054 31063.2 26856.8 24373.9 19683.1 6033.76 9400.06 9173.44 9383.06 12592.9 7428.74 10179.4 4863.59 2224.05 4672.58 -114.31 4346.15 2047.36 2853.05 6319.34 1639.65 5142.6 945.844 -285.758 2907.53 -1514.13 3988.93 778.805 537.316 3538.76 1669.42 
